Rota,Etapa,Combustivel,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
R2,Laminacao,Carvao metalurgico,,,,,,,,,,,,,,,
R2,Laminacao,Lenha,,,,,,,,,,,,,,,
R2,Laminacao,Produtos da cana,,,,,,,,,,,,,,,
R2,Laminacao,Outras fontes primarias,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17
R2,Laminacao,Oleo diesel,,,,,,,,,,,,,,,
R2,Laminacao,Oleo combustivel,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
R2,Laminacao,Gasolina,,,,,,,,,,,,,,,
R2,Laminacao,GLP,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047
R2,Laminacao,Querosene,,,,,,,,,,,,,,,
R2,Laminacao,Gases cidade,,,,,,,,,,,,,,,
R2,Laminacao,Coque de carvao mineral,,,,,,,,,,,,,,,
R2,Laminacao,Eletricidade,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125
R2,Laminacao,Carvao vegetal,,,,,,,,,,,,,,,
R2,Laminacao,Alcool etilico,,,,,,,,,,,,,,,
R2,Laminacao,Outras fontes secundarias,,,,,,,,,,,,,,,
R2,Laminacao,Alcatrao,,,,,,,,,,,,,,,
R2,Flare,Gas natural,,,,,,,,,,,,,,,
R2,Flare,Carvao metalurgico,,,,,,,,,,,,,,,
R2,Flare,Lenha,,,,,,,,,,,,,,,
R2,Flare,Produtos da cana,,,,,,,,,,,,,,,
R2,Flare,Outras fontes primarias,1.722,1.722,1.722,1.722,1.722,1.722,1.722,1.722,1.722,1.722,1.722,1.722,1.722,1.722,1.722
R2,Flare,Oleo diesel,,,,,,,,,,,,,,,
R2,Flare,Oleo combustivel,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038
R2,Flare,Gasolina,,,,,,,,,,,,,,,
R2,Flare,GLP,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
R2,Flare,Querosene,,,,,,,,,,,,,,,
R2,Flare,Gases cidade,,,,,,,,,,,,,,,
R2,Flare,Coque de carvao mineral,,,,,,,,,,,,,,,
R2,Flare,Eletricidade,,,,,,,,,,,,,,,
R2,Flare,Carvao vegetal,,,,,,,,,,,,,,,
R2,Flare,Alcool etilico,,,,,,,,,,,,,,,
R2,Flare,Outras fontes secundarias,,,,,,,,,,,,,,,
R2,Flare,Alcatrao,,,,,,,,,,,,,,,
